identifier,display_name,relative_path,deps
5.0.0_pre.0 scalar/Scalar/PartialEq/eq,eq,src/scalar.rs,5.0.0_pre.0 scalar/Scalar/ConstantTimeEq/ct_eq; core https:/github.com/rust_lang/rust/library/core convert/Into/into; ConstantTimeEq
5.0.0_pre.0 decompress/ristretto/step_2,step_2,src/ristretto.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square; 5.0.0_pre.0 field/FieldElement51/is_negative; ConditionallyNegatable/conditional_negate; 5.0.0_pre.0 field/FieldElement51/invsqrt; 5.0.0_pre.0 traits/Identity; 5.0.0_pre.0 field/FieldElement51/is_zero
alloc https:/github.com/rust_lang/rust/library/alloc vec/Vec/push,push,src/edwards.rs,
5.0.0_pre.0 curve_models/serial/backend/ProjectivePoint/as_extended,as_extended,src/backend/serial/scalar_mul/straus.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/square
5.0.0_pre.0 edwards/VartimeEdwardsPrecomputation/VartimePrecomputedMultiscalarMul/is_empty,is_empty,src/edwards.rs,5.0.0_pre.0 backend/VartimePrecomputedStraus/is_empty
core https:/github.com/rust_lang/rust/library/core clone/Clone,Clone,src/traits.rs,
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_square_internal_correct,lemma_square_internal_correct,src/backend/serial/u64/scalar_lemmas.rs,mul/arithmetic/lemma_mul_is_associative; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_nine_limbs_equals_slice128_to_nat; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_five_limbs_equals_to_nat; 5.0.0_pre.0 scalar_specs/u64/serial/backend/nine_limbs_to_nat_aux; power2/arithmetic/lemma_pow2_adds; 5.0.0_pre.0 scalar_specs/u64/serial/backend/five_limbs_to_nat_aux; 5.0.0_pre.0 scalar_specs/u64/serial/backend/slice128_to_nat
5.0.0_pre.0 traits/VartimePrecomputedMultiscalarMul,VartimePrecomputedMultiscalarMul,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core marker/Sized; core https:/github.com/rust_lang/rust/library/core clone/Clone
alloc https:/github.com/rust_lang/rust/library/alloc string/ToString/to_string,to_string,build.rs,
5.0.0_pre.0 edwards/VartimeEdwardsPrecomputation/VartimePrecomputedMultiscalarMul/optional_mixed_multiscalar_mul,optional_mixed_multiscalar_mul,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core borrow/Borrow; core https:/github.com/rust_lang/rust/library/core collect/traits/iter/IntoIterator; 5.0.0_pre.0 backend/VartimePrecomputedStraus/optional_mixed_multiscalar_mul
5.0.0_pre.0 edwards/EdwardsPoint/is_small_order,is_small_order,src/edwards.rs,5.0.0_pre.0 traits/IsIdentity/is_identity; 5.0.0_pre.0 edwards/EdwardsPoint/mul_by_cofactor
5.0.0_pre.0 ristretto/RistrettoPoint/try_from_rng,try_from_rng,src/ristretto.rs,5.0.0_pre.0 ristretto/RistrettoPoint/from_uniform_bytes; TryCryptoRng; core https:/github.com/rust_lang/rust/library/core marker/Sized
5.0.0_pre.0 edwards/EdwardsPoint/Sum/sum,sum,src/edwards.rs,core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator/fold; core https:/github.com/rust_lang/rust/library/core arith/ops/Neg; core https:/github.com/rust_lang/rust/library/core iterator/traits/iter/Iterator; 5.0.0_pre.0 edwards/EdwardsPoint/Identity/identity
5.0.0_pre.0 affine/edwards/AffinePoint/compress,compress,src/edwards.rs,5.0.0_pre.0 field/u64/serial/backend/FieldElement51/to_bytes; 5.0.0_pre.0 field/FieldElement51/is_negative; Choice/unwrap_u8; core https:/github.com/rust_lang/rust/library/core arith/ops/Mul
5.0.0_pre.0 traits/Identity/identity,identity,src/traits.rs,
5.0.0_pre.0 ristretto/CompressedRistretto/Identity/identity,identity,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core default/Default
5.0.0_pre.0 scalar_specs/u64/serial/backend/seq_to_nat,seq_to_nat,src/backend/serial/u64/scalar_lemmas.rs,power2/arithmetic/pow2
mul/arithmetic/lemma_mul_is_distributive_sub_other_way,lemma_mul_is_distributive_sub_other_way,src/backend/serial/u64/field_verus.rs,
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_decompose,lemma_decompose,src/backend/serial/u64/scalar_lemmas.rs,5.0.0_pre.0 common_verus/u64/serial/backend/shift_is_pow2; div_mod/arithmetic/lemma_fundamental_div_mod; power2/arithmetic/lemma_pow2_pos; power2/arithmetic/lemma2_to64_rest; power2/arithmetic/pow2
5.0.0_pre.0 scalar/Scalar/as_radix_16,as_radix_16,src/scalar.rs,
5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_add_carry_and_sum_bounds,lemma_add_carry_and_sum_bounds,src/backend/serial/u64/scalar_lemmas.rs,power2/arithmetic/lemma_pow2_pos; div_mod/arithmetic/lemma_fundamental_div_mod; 5.0.0_pre.0 common_verus/u64/serial/backend/shift_is_pow2; mul/arithmetic/lemma_mul_strict_inequality_converse
5.0.0_pre.0 montgomery/MontgomeryPoint/as_bytes,as_bytes,src/montgomery.rs,
core https:/github.com/rust_lang/rust/library/core index/ops/Index,Index,src/scalar.rs,
5.0.0_pre.0 scalar/Scalar/as_bytes,as_bytes,src/scalar.rs,
5.0.0_pre.0 edwards/EdwardsPoint/vartime_double_scalar_mul_basepoint,vartime_double_scalar_mul_basepoint,src/ristretto.rs,5.0.0_pre.0 backend/vartime_double_base_mul
5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/add,add,src/scalar.rs,5.0.0_pre.0 scalar/u64/serial/backend/Scalar52/sub; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_l_equals_group_order; 5.0.0_pre.0 scalar_specs/u64/serial/backend/to_nat; 5.0.0_pre.0 scalar_specs/u64/serial/backend/group_order; 5.0.0_pre.0 scalar_specs/u64/serial/backend/limbs_bounded; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_l_value_properties; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_add_loop_bounds; 5.0.0_pre.0 scalar_lemmas/u64/serial/backend/lemma_add_carry_and_sum_bounds
5.0.0_pre.0 scalar_specs/u64/serial/backend/five_limbs_to_nat_aux,five_limbs_to_nat_aux,src/backend/serial/u64/scalar_lemmas.rs,power2/arithmetic/pow2
5.0.0_pre.0 ristretto/RistrettoPoint/Neg/neg,neg,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core arith/ops/MulAssign
5.0.0_pre.0 ristretto/RistrettoPoint/double_and_compress_batch,double_and_compress_batch,src/ristretto.rs,core https:/github.com/rust_lang/rust/library/core collect/traits/iter/IntoIterator
5.0.0_pre.0 backend/straus_optional_multiscalar_mul,straus_optional_multiscalar_mul,src/backend/mod.rs,5.0.0_pre.0 straus/scalar_mul/serial/backend/Straus/VartimeMultiscalarMul/optional_multiscalar_mul; 5.0.0_pre.0 traits/VartimeMultiscalarMul; core https:/github.com/rust_lang/rust/library/core borrow/Borrow; core https:/github.com/rust_lang/rust/library/core collect/traits/iter/IntoIterator; 5.0.0_pre.0 backend/get_selected_backend
